id	created_at	blend_name	ingredients	category
1399	2026-03-03 10:06:00.75605+00	PRAWTEIN Pre-B	BIO RAW KAKAOVÉ BOBY se slupkou | OMEGA KOMPLEX 2 BIO RAW (mořské řasy s konopným olejem) | BIO JAGGERY POWDER | BIO LEN SETÝ semínka (Organic Flax seeds)	PRAWTEIN® – superpotravinové směsi
1400	2026-03-03 10:06:00.75605+00	PRAWTEIN Pro No	BIO RAW KAKAOVÉ BOBY se slupkou | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem) | BIO JAGGERY POWDER	PRAWTEIN® – superpotravinové směsi
1401	2026-03-03 10:06:00.75605+00	PRAWTEIN Propolis Max	BIO RAW KAKAOVÉ BOBY se slupkou | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem) | BIO JAGGERY POWDER	PRAWTEIN® – superpotravinové směsi
1402	2026-03-03 10:06:00.75605+00	PRAWTEIN Protect	BIO RAW KAKAOVÉ BOBY se slupkou | BIO RAW KAKAOVÉ BOBY se slupkou | BIO JAGGERY POWDER | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem) | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem) | BIO JAGGERY POWDER	PRAWTEIN® – superpotravinové směsi
1403	2026-03-03 10:06:00.75605+00	PRAWTEIN Protect B	BIO RAW KAKAOVÉ BOBY se slupkou | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem) | BIO JAGGERY POWDER	PRAWTEIN® – superpotravinové směsi
1404	2026-03-03 10:06:00.75605+00	PRAWTEIN Reishi Plus	BIO RAW KAKAOVÉ BOBY se slupkou | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem) | BIO JAGGERY POWDER	PRAWTEIN® – superpotravinové směsi
1405	2026-03-03 10:06:00.75605+00	PRAWTEIN Suby C	BIO RAW KAKAOVÉ BOBY se slupkou | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem) | BIO JAGGERY POWDER	PRAWTEIN® – superpotravinové směsi
1406	2026-03-03 10:06:00.75605+00	PRAWTEIN Sup-er-man	BIO RAW KAKAOVÉ BOBY se slupkou | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem) | BIO JAGGERY POWDER | BIO KONOPNÁ SEMÍNKA (Organic Hemp Nuts) Rumunsko	PRAWTEIN® – superpotravinové směsi
1407	2026-03-03 10:06:00.75605+00	PRAWTEIN Super D3 Plus K2	Vitamín D3 veganský | BIO RAW KAKAOVÉ BOBY se slupkou | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem) | BIO JAGGERY POWDER	PRAWTEIN® – superpotravinové směsi
1408	2026-03-03 10:06:00.75605+00	PRAWTEIN Vision	BIO RAW KAKAOVÉ BOBY se slupkou | BIO JAGGERY POWDER | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem)	PRAWTEIN® – superpotravinové směsi
